idModelInstance,Parameter,Value,Unit,Description,Reference
Worley2017_PFOA_Human_PARAM,BW,70.0,,body weight,
Worley2017_PFOA_Human_PARAM,VLc,0.025,,,
Worley2017_PFOA_Human_PARAM,VPlasmac,0.0428,,,
Worley2017_PFOA_Human_PARAM,VL,,,,
Worley2017_PFOA_Human_PARAM,VPlasma,,,,
Worley2017_PFOA_Human_PARAM,QC,,,,
Worley2017_PFOA_Human_PARAM,QCP,,,,
Worley2017_PFOA_Human_PARAM,Htc,0.44,,hematocrit,
Worley2017_PFOA_Human_PARAM,QLc,0.23,,,
Worley2017_PFOA_Human_PARAM,QL,,,,
Worley2017_PFOA_Human_PARAM,QRest,,,,
Worley2017_PFOA_Human_PARAM,Free,0.02,,,
Worley2017_PFOA_Human_PARAM,kstoC,3.5,,,
Worley2017_PFOA_Human_PARAM,ksto,,,,
Worley2017_PFOA_Human_PARAM,kabsC,2.12,,,
Worley2017_PFOA_Human_PARAM,kabs,,,,
Worley2017_PFOA_Human_PARAM,kfeC,7.06e-05,,,
Worley2017_PFOA_Human_PARAM,k0C,1.0,,,
Worley2017_PFOA_Human_PARAM,k0,,,,
Worley2017_PFOA_Human_PARAM,kfe,,,,
Worley2017_PFOA_Human_PARAM,kbiliaryC,0.001,,,
Worley2017_PFOA_Human_PARAM,kbiliary,,,,
Worley2017_PFOA_Human_PARAM,PL,1.03,,,
Worley2017_PFOA_Human_PARAM,PRest,1.0,,,
