element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mol,,,,
extentUnits,document,model extent unit,mol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Bouchard2010_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Bouchard2010_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_TAXON,,
Gut,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
Rest,compartment,,,rdf,BQM_IS,,
AGut,species,,,rdf,BQM_IS,,
AGut,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,,,rdf,BQM_IS,,
ARest,species,,,rdf,BQB_IS,,
ABloodMetTotal,species,,,rdf,BQM_IS,,
ABloodMetTotal,species,,,rdf,BQB_IS,,
kbm,parameter,,,rdf,BQM_IS,,
kbm,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
kbr,parameter,,,rdf,BQM_IS,,
kbr,parameter,,,rdf,BQB_IS,,
krb,parameter,,,rdf,BQM_IS,,
krb,parameter,,,rdf,BQB_IS,,
