idModelInstance,Parameter,Value,Unit,Description,Reference
Chen_Fenitrothion_Human_PARAM,BW,70.0,,,
Chen_Fenitrothion_Human_PARAM,VBc,0.079,,,
Chen_Fenitrothion_Human_PARAM,VLc,0.026,,,
Chen_Fenitrothion_Human_PARAM,BVRestC,0.04,,,
Chen_Fenitrothion_Human_PARAM,QCc,15.0,,,
Chen_Fenitrothion_Human_PARAM,QLc,0.227,,,
Chen_Fenitrothion_Human_PARAM,BP,0.55,,,
Chen_Fenitrothion_Human_PARAM,PL,5.85,,,
Chen_Fenitrothion_Human_PARAM,PRest,1.0,,,
Chen_Fenitrothion_Human_PARAM,Fa,0.7,,,
Chen_Fenitrothion_Human_PARAM,ksto,0.48,,,
Chen_Fenitrothion_Human_PARAM,kabs,0.59,,,
Chen_Fenitrothion_Human_PARAM,k0,0.32,,,
Chen_Fenitrothion_Human_PARAM,Fupliver,0.643,,,
Chen_Fenitrothion_Human_PARAM,MPL,32.0,,,
Chen_Fenitrothion_Human_PARAM,KmLMet1,21.56,,,
Chen_Fenitrothion_Human_PARAM,VmaxLMet1C,1.68,,,
Chen_Fenitrothion_Human_PARAM,KmLMet2,4.084,,,
Chen_Fenitrothion_Human_PARAM,VmaxLMet2C,0.1825,,,
