element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Godin_Pyrethroid_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Godin_Pyrethroid_Human,model,,,rdf,BQB_HAS_TAXON,,
Stomach,compartment,,,rdf,BQM_IS,,
Intestinal,compartment,,,rdf,BQM_IS,,
LiverVC,compartment,,,rdf,BQM_IS,,
LiverIC,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
RestVC,compartment,,,rdf,BQM_IS,,
RestIC,compartment,,,rdf,BQM_IS,,
Fecal,compartment,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
AIT,species,,,rdf,BQM_IS,,
AIT,species,,,rdf,BQB_IS,,
ALiverVC,species,,,rdf,BQM_IS,,
ALiverVC,species,,,rdf,BQB_IS,,
ALiverIC,species,,,rdf,BQM_IS,,
ALiverIC,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARestVC,species,,,rdf,BQM_IS,,
ARestVC,species,,,rdf,BQB_IS,,
ARestIC,species,,,rdf,BQM_IS,,
ARestIC,species,,,rdf,BQB_IS,,
ALiverMet,species,,,rdf,BQM_IS,,
ALiverMet,species,,,rdf,BQB_IS,,
ABloodMet,species,,,rdf,BQM_IS,,
ABloodMet,species,,,rdf,BQB_IS,,
AFecal,species,,,rdf,BQM_IS,,
AFecal,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
BVLiverC,parameter,,,rdf,BQM_IS,,
BVLiverC,parameter,,,rdf,BQB_IS,,
BVLiver,parameter,,,rdf,BQM_IS,,
BVLiver,parameter,,,rdf,BQB_IS,,
BVRestC,parameter,,,rdf,BQM_IS,,
BVRestC,parameter,,,rdf,BQB_IS,,
BVRest,parameter,,,rdf,BQM_IS,,
BVRest,parameter,,,rdf,BQB_IS,,
QCc,parameter,,,rdf,BQM_IS,,
QCc,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
PSALc,parameter,,,rdf,BQM_IS,,
PSALc,parameter,,,rdf,BQB_IS,,
PSAL,parameter,,,rdf,BQM_IS,,
PSAL,parameter,,,rdf,BQB_IS,,
PSARestc,parameter,,,rdf,BQM_IS,,
PSARestc,parameter,,,rdf,BQB_IS,,
PSARest,parameter,,,rdf,BQM_IS,,
PSARest,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
kfe,parameter,,,rdf,BQM_IS,,
kfe,parameter,,,rdf,BQB_IS,,
CLintC,parameter,,,rdf,BQM_IS,,
CLintC,parameter,,,rdf,BQB_IS,,
CLint,parameter,,,rdf,BQM_IS,,
CLint,parameter,,,rdf,BQB_IS,,
CLintBC,parameter,,,rdf,BQM_IS,,
CLintBC,parameter,,,rdf,BQB_IS,,
CLintB,parameter,,,rdf,BQM_IS,,
CLintB,parameter,,,rdf,BQB_IS,,
CIT,parameter,,,rdf,BQM_IS,,
CIT,parameter,,,rdf,BQB_IS,,
CLiverVC,parameter,,,rdf,BQM_IS,,
CLiverVC,parameter,,,rdf,BQB_IS,,
CLiverIC,parameter,,,rdf,BQM_IS,,
CLiverIC,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CRestVC,parameter,,,rdf,BQM_IS,,
CRestVC,parameter,,,rdf,BQB_IS,,
CRestIC,parameter,,,rdf,BQM_IS,,
CRestIC,parameter,,,rdf,BQB_IS,,
