idModelInstance,Parameter,Value,Unit,Description,Reference
Godin_Pyrethroid_Human_PARAM,BW,70.0,,,
Godin_Pyrethroid_Human_PARAM,VBc,0.07,,,
Godin_Pyrethroid_Human_PARAM,VLc,0.0233,,,
Godin_Pyrethroid_Human_PARAM,BVLiverC,0.21,,,
Godin_Pyrethroid_Human_PARAM,BVRestC,0.04,,,
Godin_Pyrethroid_Human_PARAM,QCc,14.1,,,
Godin_Pyrethroid_Human_PARAM,QLc,0.214,,,
Godin_Pyrethroid_Human_PARAM,PL,19.0,,,
Godin_Pyrethroid_Human_PARAM,PRest,1.0,,,
Godin_Pyrethroid_Human_PARAM,PSALc,0.288,,,
Godin_Pyrethroid_Human_PARAM,PSARestc,0.043,,,
Godin_Pyrethroid_Human_PARAM,ksto,0.42,,,
Godin_Pyrethroid_Human_PARAM,kabs,1.51,,,
Godin_Pyrethroid_Human_PARAM,kfe,0.59,,,
Godin_Pyrethroid_Human_PARAM,CLintC,9.7,,,
Godin_Pyrethroid_Human_PARAM,CLint,,,,
Godin_Pyrethroid_Human_PARAM,CLintBC,0.0,,,
Godin_Pyrethroid_Human_PARAM,CLintB,,,,
