element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Mallick2020_Pyrethroids_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://doi.org/10.1093/toxsci/kfz211,
Mallick2020_Pyrethroids_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Mallick2020_Pyrethroids_Human,model,,,rdf,BQB_HAS_TAXON,,
Lumen,compartment,,,rdf,BQM_IS,,
Gut,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
Plasma,compartment,,,rdf,BQM_IS,,
RestPlasma,compartment,,,rdf,BQM_IS,,
RestTissue,compartment,,,rdf,BQM_IS,,
ALumen,species,,,rdf,BQM_IS,,
ALumen,species,,,rdf,BQB_IS,,
AGut,species,,,rdf,BQM_IS,,
AGut,species,,,rdf,BQB_IS,,
ALiver,species,,,rdf,BQM_IS,,
ALiver,species,,,rdf,BQB_IS,,
APlasma,species,,,rdf,BQM_IS,,
APlasma,species,,,rdf,BQB_IS,,
ARestPlasma,species,,,rdf,BQM_IS,,
ARestPlasma,species,,,rdf,BQB_IS,,
ARestTissue,species,,,rdf,BQM_IS,,
ARestTissue,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBloodc,parameter,,,rdf,BQM_IS,,
VBloodc,parameter,,,rdf,BQB_IS,,
VGutc,parameter,,,rdf,BQM_IS,,
VGutc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VBlood,parameter,,,rdf,BQM_IS,,
VBlood,parameter,,,rdf,BQB_IS,,
VGut,parameter,,,rdf,BQM_IS,,
VGut,parameter,,,rdf,BQB_IS,,
FTB,parameter,,,rdf,BQM_IS,,
FTB,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
VRestTissue,parameter,,,rdf,BQM_IS,,
VRestTissue,parameter,,,rdf,BQB_IS,,
VRestPlasma,parameter,,,rdf,BQM_IS,,
VRestPlasma,parameter,,,rdf,BQB_IS,,
Htc,parameter,,,rdf,BQM_IS,,
Htc,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QPlasma,parameter,,,rdf,BQM_IS,,
QPlasma,parameter,,,rdf,BQB_IS,,
QGutc,parameter,,,rdf,BQM_IS,,
QGutc,parameter,,,rdf,BQB_IS,,
QLhc,parameter,,,rdf,BQM_IS,,
QLhc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QGut,parameter,,,rdf,BQM_IS,,
QGut,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PG,parameter,,,rdf,BQM_IS,,
PG,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
Free,parameter,,,rdf,BQM_IS,,
Free,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
LymphAbs,parameter,,,rdf,BQM_IS,,
LymphAbs,parameter,,,rdf,BQB_IS,,
PASPc,parameter,,,rdf,BQM_IS,,
PASPc,parameter,,,rdf,BQB_IS,,
PASP,parameter,,,rdf,BQM_IS,,
PASP,parameter,,,rdf,BQB_IS,,
CL1C,parameter,,,rdf,BQM_IS,,
CL1C,parameter,,,rdf,BQB_IS,,
CL1,parameter,,,rdf,BQM_IS,,
CL1,parameter,,,rdf,BQB_IS,,
SF,parameter,,,rdf,BQM_IS,,
SF,parameter,,,rdf,BQB_IS,,
CGut,parameter,,,rdf,BQM_IS,,
CGut,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CPlasmaTotal,parameter,,,rdf,BQM_IS,,
CPlasmaTotal,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
CRestPlasma,parameter,,,rdf,BQM_IS,,
CRestPlasma,parameter,,,rdf,BQB_IS,,
CRestTissue,parameter,,,rdf,BQM_IS,,
CRestTissue,parameter,,,rdf,BQB_IS,,
