idModelInstance,Parameter,Value,Unit,Description,Reference
Mallick2020_Pyrethroids_Human_PARAM,BW,81.74,,,
Mallick2020_Pyrethroids_Human_PARAM,VLc,0.0197,,,
Mallick2020_Pyrethroids_Human_PARAM,VBloodc,0.0553,,,
Mallick2020_Pyrethroids_Human_PARAM,VGutc,0.016,,,
Mallick2020_Pyrethroids_Human_PARAM,FTB,0.05,,,
Mallick2020_Pyrethroids_Human_PARAM,Htc,0.441,,,
Mallick2020_Pyrethroids_Human_PARAM,QC,236.63,,,
Mallick2020_Pyrethroids_Human_PARAM,QGutc,0.215,,,
Mallick2020_Pyrethroids_Human_PARAM,QLhc,0.05,,,
Mallick2020_Pyrethroids_Human_PARAM,PL,1.0728,,,
Mallick2020_Pyrethroids_Human_PARAM,PG,1.0728,,,
Mallick2020_Pyrethroids_Human_PARAM,PRest,1.0,,,
Mallick2020_Pyrethroids_Human_PARAM,Free,0.1,,,
Mallick2020_Pyrethroids_Human_PARAM,kabs,5.0,,,
Mallick2020_Pyrethroids_Human_PARAM,LymphAbs,0.086,,,
Mallick2020_Pyrethroids_Human_PARAM,PASPc,0.05,,,
Mallick2020_Pyrethroids_Human_PARAM,CL1C,7418.58,,,
Mallick2020_Pyrethroids_Human_PARAM,SF,5.0,,,
