element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,umol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Moerenhout2022_Pesticides_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://doi.org/10.1021/acs.est.4c06534,
Moerenhout2022_Pesticides_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_34631,
Moerenhout2022_Pesticides_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,Stomach compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
SI1,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI2,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI3,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI4,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI5,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI6,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
SI7,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
Colon,compartment,Colon compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_02002,
Blood,compartment,Blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Kidney,compartment,Kidney compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Urine,compartment,Urine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
Feces,compartment,Feces compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AStomach,species,Amount in stomach,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06004,
AStomach,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI1,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06005,
ASI1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI2,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI3,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI4,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI4,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI5,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI6,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI6,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ASI7,species,Amount in small intestine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06010,
ASI7,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AColon,species,Amount in colon,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06011,
AColon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ABlood,species,Amount in blood,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ALiver,species,Amount in liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AKidney,species,Amount in kidney,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ARest,species,Amount in rest of body,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AFeces,species,Amount in feces,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AUrine,species,Amount in urine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrine,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ABloodOxon,species,Amount in blood,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABloodOxon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25212,
ALiverOxon,species,Amount in liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverOxon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25212,
AKidneyOxon,species,Amount in kidney,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidneyOxon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25212,
ARestOxon,species,Amount in rest of body,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARestOxon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25212,
AUrineOxon,species,Amount in urine,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrineOxon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25212,
ABloodMet,species,Amount in blood,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABloodMet,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_83490,
ALiverMet,species,Amount in liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverMet,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_83490,
