idModelInstance,Parameter,Value,Unit,Description,Reference
Moerenhout2022_Pesticides_Human_PARAM,BW,70.0,,,
Moerenhout2022_Pesticides_Human_PARAM,QCc,4.8,,,
Moerenhout2022_Pesticides_Human_PARAM,QC,,,,
Moerenhout2022_Pesticides_Human_PARAM,QLc,0.227,,,
Moerenhout2022_Pesticides_Human_PARAM,QL,,,,
Moerenhout2022_Pesticides_Human_PARAM,QKidc,0.175,,,
Moerenhout2022_Pesticides_Human_PARAM,QKid,,,,
Moerenhout2022_Pesticides_Human_PARAM,QRest,,,,
Moerenhout2022_Pesticides_Human_PARAM,VLc,0.026,,,
Moerenhout2022_Pesticides_Human_PARAM,VKidc,0.004,,,
Moerenhout2022_Pesticides_Human_PARAM,VBlc,0.079,,,
Moerenhout2022_Pesticides_Human_PARAM,VGutc,0.063,,,
Moerenhout2022_Pesticides_Human_PARAM,VStc,0.063,,,
Moerenhout2022_Pesticides_Human_PARAM,VColonc,0.063,,,
Moerenhout2022_Pesticides_Human_PARAM,VRest,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PL,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PLOxon,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PLMet,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PKid,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PKidOxon,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PKidMet,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PRest,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PRestOxon,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,PRestMet,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,GFRc,0.108,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmax1c,0.156,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverKm1,28.59,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmax2c,0.234,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverKm2,4.326,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmaxOxon1c,37.98,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverKmOxon1,627.9,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmaxOxon2c,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,LiverKmOxon2,1.0,,,
Moerenhout2022_Pesticides_Human_PARAM,BloodVmaxOxonc,23.84,,,
Moerenhout2022_Pesticides_Human_PARAM,BloodKmOxon,290.0,,,
Moerenhout2022_Pesticides_Human_PARAM,fu,0.018,,,
Moerenhout2022_Pesticides_Human_PARAM,fuOxon,0.051,,,
Moerenhout2022_Pesticides_Human_PARAM,fuMet,0.025,,,
Moerenhout2022_Pesticides_Human_PARAM,bpr,0.983,,,
Moerenhout2022_Pesticides_Human_PARAM,bprOxon,0.692,,,
Moerenhout2022_Pesticides_Human_PARAM,bprMet,0.55,,,
Moerenhout2022_Pesticides_Human_PARAM,ka,2.4,,,
Moerenhout2022_Pesticides_Human_PARAM,MPL,35.0,,,
Moerenhout2022_Pesticides_Human_PARAM,CPL,87.0,,,
Moerenhout2022_Pesticides_Human_PARAM,MPP,60.0,,,
Moerenhout2022_Pesticides_Human_PARAM,HC,0.45,,,
Moerenhout2022_Pesticides_Human_PARAM,kge,2.0,,,
Moerenhout2022_Pesticides_Human_PARAM,ktSI,0.3,,,
Moerenhout2022_Pesticides_Human_PARAM,ktCol,0.09,,,
