idModelInstance,Parameter,Value,Unit,Description,Reference
Moerenhout2022_Pesticides_Human_PARAM,BW,70.0,kg,Bodyweight,
Moerenhout2022_Pesticides_Human_PARAM,QCc,4.8,dimensionless,Cardiac output constant,
Moerenhout2022_Pesticides_Human_PARAM,QC,,L/h,Cardiac output flow,
Moerenhout2022_Pesticides_Human_PARAM,QLc,0.227,dimensionless,Cardiac output to liver,
Moerenhout2022_Pesticides_Human_PARAM,QL,,L/h,Blood flow to liver,
Moerenhout2022_Pesticides_Human_PARAM,QKidc,0.175,dimensionless,Fraction of blood flow to kidney,
Moerenhout2022_Pesticides_Human_PARAM,QKid,,L/h,Blood flow to kidney,
Moerenhout2022_Pesticides_Human_PARAM,QRest,,L/h,Blood flow to rest of body,
Moerenhout2022_Pesticides_Human_PARAM,VLc,0.026,dimensionless,Volume fraction of liver,
Moerenhout2022_Pesticides_Human_PARAM,VL,,L,Volume of liver,
Moerenhout2022_Pesticides_Human_PARAM,VKidc,0.004,dimensionless,Volume fraction of kidney,
Moerenhout2022_Pesticides_Human_PARAM,VKid,,L,Volume of kidney,
Moerenhout2022_Pesticides_Human_PARAM,VBlc,0.079,dimensionless,Volume fraction of blood,
Moerenhout2022_Pesticides_Human_PARAM,VBl,,L,Volume of blood,
Moerenhout2022_Pesticides_Human_PARAM,VGutc,0.063,dimensionless,Volume fraction of gut,
Moerenhout2022_Pesticides_Human_PARAM,VGut,,L,Volume of gut,
Moerenhout2022_Pesticides_Human_PARAM,VStc,0.063,dimensionless,Volume fraction of stomach,
Moerenhout2022_Pesticides_Human_PARAM,VSt,,L,Volume of stomach,
Moerenhout2022_Pesticides_Human_PARAM,VColonc,0.063,dimensionless,Volume fraction of colon,
Moerenhout2022_Pesticides_Human_PARAM,VColon,,L,Volume of colon,
Moerenhout2022_Pesticides_Human_PARAM,VRest,1.0,L,Volume of rest of body,
Moerenhout2022_Pesticides_Human_PARAM,PL,1.0,dimensionless,Partition coefficient blood-liver,
Moerenhout2022_Pesticides_Human_PARAM,PLOxon,1.0,dimensionless,Partition coefficient blood-liver,
Moerenhout2022_Pesticides_Human_PARAM,PLMet,1.0,dimensionless,Partition coefficient blood-liver,
Moerenhout2022_Pesticides_Human_PARAM,PKid,1.0,dimensionless,Partition coefficient blood-kidney,
Moerenhout2022_Pesticides_Human_PARAM,PKidOxon,1.0,dimensionless,Partition coefficient blood-kidney,
Moerenhout2022_Pesticides_Human_PARAM,PKidMet,1.0,dimensionless,Partition coefficient blood-kidney,
Moerenhout2022_Pesticides_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Moerenhout2022_Pesticides_Human_PARAM,PRestOxon,1.0,dimensionless,Partition coefficient blood- rest body,
Moerenhout2022_Pesticides_Human_PARAM,PRestMet,1.0,dimensionless,Partition coefficient blood- rest body,
Moerenhout2022_Pesticides_Human_PARAM,GFRc,0.108,L/h/kg,Renal excretion rate constant (GFR),
Moerenhout2022_Pesticides_Human_PARAM,GFR,,/h,Renal excretion rate (GFR),
Moerenhout2022_Pesticides_Human_PARAM,LiverVmax1c,0.156,dimensionless,Vmax constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverKm1,28.59,dimensionless,Km constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmax2c,0.234,dimensionless,Vmax constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverKm2,4.326,dimensionless,Km constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmaxOxon1c,37.98,dimensionless,Vmax constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverKmOxon1,627.9,dimensionless,Km constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverVmaxOxon2c,1.0,dimensionless,Vmax constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,LiverKmOxon2,1.0,dimensionless,Km constant in liver,
Moerenhout2022_Pesticides_Human_PARAM,BloodVmaxOxonc,23.84,dimensionless,Vmax constant in blood,
Moerenhout2022_Pesticides_Human_PARAM,BloodKmOxon,290.0,dimensionless,Km constant in blood,
Moerenhout2022_Pesticides_Human_PARAM,fu,0.018,dimensionless,Fraction unbound,
Moerenhout2022_Pesticides_Human_PARAM,fuOxon,0.051,dimensionless,Fraction unbound of oxon,
Moerenhout2022_Pesticides_Human_PARAM,fuMet,0.025,dimensionless,Fraction unbound,
Moerenhout2022_Pesticides_Human_PARAM,bpr,0.983,dimensionless,Blood - plasma concentration ratio,
Moerenhout2022_Pesticides_Human_PARAM,bprOxon,0.692,dimensionless,Blood - plasma concentration ratio,
Moerenhout2022_Pesticides_Human_PARAM,bprMet,0.55,dimensionless,Blood - plasma concentration ratio,
Moerenhout2022_Pesticides_Human_PARAM,ka,2.4,/h,Absorption from small intestine to liver,
Moerenhout2022_Pesticides_Human_PARAM,MPL,35.0,mg/g,Clearance scaling factor,
Moerenhout2022_Pesticides_Human_PARAM,CPL,87.0,mg/g,Clearance scaling factor,
Moerenhout2022_Pesticides_Human_PARAM,MPP,60.0,mg/g,Clearance scaling factor,
Moerenhout2022_Pesticides_Human_PARAM,HC,0.45,dimensionless,Hematocrit,
Moerenhout2022_Pesticides_Human_PARAM,kge,2.0,/h,Gastric emptying rate,
Moerenhout2022_Pesticides_Human_PARAM,ktSI,0.3,/h,Small intestine transit rate,
Moerenhout2022_Pesticides_Human_PARAM,ktCol,0.09,/h,Colon transit rate,
