idModelInstance,Parameter,Value,Unit,Description,Reference
Moreau_Carbaryl_Human_PARAM,MW,151.165,,,
Moreau_Carbaryl_Human_PARAM,BW,61.72,,,
Moreau_Carbaryl_Human_PARAM,VLC,0.0233,,,
Moreau_Carbaryl_Human_PARAM,VGITissueC,0.019,,,
Moreau_Carbaryl_Human_PARAM,VPlasma,2.5178,,,
Moreau_Carbaryl_Human_PARAM,VUrineC,20.0,,,
Moreau_Carbaryl_Human_PARAM,QC,321.435,,,
Moreau_Carbaryl_Human_PARAM,Hct,0.3865,,,
Moreau_Carbaryl_Human_PARAM,QGIc,0.164,,,
Moreau_Carbaryl_Human_PARAM,QLc,0.097,,,
Moreau_Carbaryl_Human_PARAM,PL,0.8,,,
Moreau_Carbaryl_Human_PARAM,PGI,1.5,,,
Moreau_Carbaryl_Human_PARAM,PRest,1.0,,,
Moreau_Carbaryl_Human_PARAM,ksto,6.0,,,
Moreau_Carbaryl_Human_PARAM,kabs,6.0,,,
Moreau_Carbaryl_Human_PARAM,Fa,1.0,,,
Moreau_Carbaryl_Human_PARAM,CLintLC,179.982,,,
Moreau_Carbaryl_Human_PARAM,CLintB,60.0,,,
Moreau_Carbaryl_Human_PARAM,Free,0.1,,,
Moreau_Carbaryl_Human_PARAM,GFR,7.7964,,,
