idModelInstance,Parameter,Value,Unit,Description,Reference
Moreau_Deltamethrin_Human_PARAM,MW,505.21,,,
Moreau_Deltamethrin_Human_PARAM,BW,61.72,,,
Moreau_Deltamethrin_Human_PARAM,VLC,0.0233,,,
Moreau_Deltamethrin_Human_PARAM,VGITissueC,0.019,,,
Moreau_Deltamethrin_Human_PARAM,VPlasma,2.5178,,,
Moreau_Deltamethrin_Human_PARAM,VUrineC,20.0,,,
Moreau_Deltamethrin_Human_PARAM,QC,321.435,,,
Moreau_Deltamethrin_Human_PARAM,Hct,0.3865,,,
Moreau_Deltamethrin_Human_PARAM,QGIc,0.164,,,
Moreau_Deltamethrin_Human_PARAM,QLc,0.097,,,
Moreau_Deltamethrin_Human_PARAM,PL,0.44,,,
Moreau_Deltamethrin_Human_PARAM,PGI,0.44,,,
Moreau_Deltamethrin_Human_PARAM,PRest,1.0,,,
Moreau_Deltamethrin_Human_PARAM,ksto,5.0,,,
Moreau_Deltamethrin_Human_PARAM,kabs,5.0,,,
Moreau_Deltamethrin_Human_PARAM,Fa,1.0,,,
Moreau_Deltamethrin_Human_PARAM,CLintLC,82.0,,,
Moreau_Deltamethrin_Human_PARAM,CLintB,0.01,,,
Moreau_Deltamethrin_Human_PARAM,Free,0.1,,,
Moreau_Deltamethrin_Human_PARAM,GFR,7.7964,,,
