element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Tonnelier2012_Chlorpyrifos_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://doi.org/10.1007/s00204-011-0768-0,
Tonnelier2012_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Tonnelier2012_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_TAXON,,
AbsorptionCompartment,compartment,,,rdf,BQM_IS,,
PV,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
SystCompartment,compartment,,,rdf,BQM_IS,,
RenalExcretion,compartment,,,rdf,BQM_IS,,
AAbsComp,species,,,rdf,BQM_IS,,
AAbsComp,species,,,rdf,BQB_IS,,
APV,species,,,rdf,BQM_IS,,
APV,species,,,rdf,BQB_IS,,
ALiver,species,,,rdf,BQM_IS,,
ALiver,species,,,rdf,BQB_IS,,
ALiverMet,species,,,rdf,BQM_IS,,
ALiverMet,species,,,rdf,BQB_IS,,
ASysComp,species,,,rdf,BQM_IS,,
ASysComp,species,,,rdf,BQB_IS,,
ARenalEx,species,,,rdf,BQM_IS,,
ARenalEx,species,,,rdf,BQB_IS,,
VPV,parameter,,,rdf,BQM_IS,,
VPV,parameter,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VD,parameter,,,rdf,BQM_IS,,
VD,parameter,,,rdf,BQB_IS,,
QPV,parameter,,,rdf,BQM_IS,,
QPV,parameter,,,rdf,BQB_IS,,
QHA,parameter,,,rdf,BQM_IS,,
QHA,parameter,,,rdf,BQB_IS,,
QH,parameter,,,rdf,BQM_IS,,
QH,parameter,,,rdf,BQB_IS,,
FA,parameter,,,rdf,BQM_IS,,
FA,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
CLHint,parameter,,,rdf,BQM_IS,,
CLHint,parameter,,,rdf,BQB_IS,,
fu,parameter,,,rdf,BQM_IS,,
fu,parameter,,,rdf,BQB_IS,,
CL,parameter,,,rdf,BQM_IS,,
CL,parameter,,,rdf,BQB_IS,,
CLR,parameter,,,rdf,BQM_IS,,
CLR,parameter,,,rdf,BQB_IS,,
CPV,parameter,,,rdf,BQM_IS,,
CPV,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CSysComp,parameter,,,rdf,BQM_IS,,
CSysComp,parameter,,,rdf,BQB_IS,,
