idModelInstance,Parameter,Value,Unit,Description,Reference
Wei_Permethrin_Human_PARAM,BW,78.65,,,
Wei_Permethrin_Human_PARAM,VBc,0.07,,,
Wei_Permethrin_Human_PARAM,VLc,0.03,,,
Wei_Permethrin_Human_PARAM,BVRestC,0.04,,,
Wei_Permethrin_Human_PARAM,QCc,14.1,,,
Wei_Permethrin_Human_PARAM,QLc,0.214,,,
Wei_Permethrin_Human_PARAM,PL,0.44,,,
Wei_Permethrin_Human_PARAM,PRest,1.0,,,
Wei_Permethrin_Human_PARAM,PSARestc,0.043,,,
Wei_Permethrin_Human_PARAM,ksto,0.7,,,
Wei_Permethrin_Human_PARAM,kabs,0.9,,,
Wei_Permethrin_Human_PARAM,k0,0.01,,,
Wei_Permethrin_Human_PARAM,kfe,0.59,,,
Wei_Permethrin_Human_PARAM,kur,0.1,,,
Wei_Permethrin_Human_PARAM,CLintLC,7.32,,,
Wei_Permethrin_Human_PARAM,CLintL,,,,
Wei_Permethrin_Human_PARAM,CLintBC,0.0,,,
Wei_Permethrin_Human_PARAM,CLintB,,,,
