idModelInstance,Parameter,Value,Unit,Description,Reference
Zhao2019_Chlorpyrifos_Human_PARAM,BW,70.0,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VLc,0.026,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VBc,0.079,,,
Zhao2019_Chlorpyrifos_Human_PARAM,QC,347.9,,,
Zhao2019_Chlorpyrifos_Human_PARAM,QLc,0.227,,,
Zhao2019_Chlorpyrifos_Human_PARAM,PL,8.1,,,
Zhao2019_Chlorpyrifos_Human_PARAM,PRest,1.0,,,
Zhao2019_Chlorpyrifos_Human_PARAM,kabs,0.46,,,
Zhao2019_Chlorpyrifos_Human_PARAM,KmLMet1,28.59,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet1C,0.156,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet1,300.0,,,
Zhao2019_Chlorpyrifos_Human_PARAM,KmLMet2,4.33,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet2C,0.234,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet2,449.0,,,
Zhao2019_Chlorpyrifos_Human_PARAM,KmLMet3,4.33,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet3C,0.234,,,
Zhao2019_Chlorpyrifos_Human_PARAM,VmaxLMet3,449.0,,,
