idModelInstance,Parameter,Value,Unit,Description,Reference
Zwartsen_2025_Chlorpyrifos_Human_PARAM,BW,70.0,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VLc,0.0257,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VBloodc,0.074,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,QLc,0.227,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,Fa,0.35,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,Free,0.021,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,ksto,5.23755e-06,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,kabsSL,0.97718,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,kabsIL,0.978132,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,fup,0.021,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,CYP1_Abundance,52.0,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,CYP2_Abundance,15.8,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,CYP3_Abundance,5.4,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,CYP4_Abundance,137.0,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,SFCYP1,0.072,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,SFCYP2,0.476,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,SFCYP3,0.209,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,SFCYP4,0.107,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,MPL,32.0,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet1_CYP1,0.61,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet1_CYP1C,3.963,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet1_CYP2,0.14,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet1_CYP2C,7.755,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet1_CYP3,1.89,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet1_CYP3C,2.744,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet1_CYP4,29.77,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet1_CYP4C,17.78,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet2_CYP1,1.25,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet2_CYP1C,2.957,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet2_CYP2,1.28,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet2_CYP2C,5.492,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet2_CYP3,1.37,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet2_CYP3C,17.51,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,KmLMet2_CYP4,18.13,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,VmaxLMet2_CYP4C,23.86,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,BPR,1.3,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,PRest,1.0,,,
Zwartsen_2025_Chlorpyrifos_Human_PARAM,ALL,0.0,,,
