element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,umol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Zwartsen_2025_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Zwartsen_2025_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_TAXON,,
StomachLumen,compartment,,,rdf,BQM_IS,,
IntestineLumen,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
Rest,compartment,,,rdf,BQM_IS,,
ASL,species,,,rdf,BQM_IS,,
ASL,species,,,rdf,BQB_IS,,
AIL,species,,,rdf,BQM_IS,,
AIL,species,,,rdf,BQB_IS,,
ALiver,species,,,rdf,BQM_IS,,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,,,rdf,BQM_IS,,
ARest,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,,,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBloodc,parameter,,,rdf,BQM_IS,,
VBloodc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VBlood,parameter,,,rdf,BQM_IS,,
VBlood,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
Fa,parameter,,,rdf,BQM_IS,,
Fa,parameter,,,rdf,BQB_IS,,
Free,parameter,,,rdf,BQM_IS,,
Free,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kabsSL,parameter,,,rdf,BQM_IS,,
kabsSL,parameter,,,rdf,BQB_IS,,
kabsIL,parameter,,,rdf,BQM_IS,,
kabsIL,parameter,,,rdf,BQB_IS,,
fup,parameter,,,rdf,BQM_IS,,
fup,parameter,,,rdf,BQB_IS,,
CYP1_Abundance,parameter,,,rdf,BQM_IS,,
CYP1_Abundance,parameter,,,rdf,BQB_IS,,
CYP2_Abundance,parameter,,,rdf,BQM_IS,,
CYP2_Abundance,parameter,,,rdf,BQB_IS,,
CYP3_Abundance,parameter,,,rdf,BQM_IS,,
CYP3_Abundance,parameter,,,rdf,BQB_IS,,
CYP4_Abundance,parameter,,,rdf,BQM_IS,,
CYP4_Abundance,parameter,,,rdf,BQB_IS,,
SFCYP1,parameter,,,rdf,BQM_IS,,
SFCYP1,parameter,,,rdf,BQB_IS,,
SFCYP2,parameter,,,rdf,BQM_IS,,
SFCYP2,parameter,,,rdf,BQB_IS,,
SFCYP3,parameter,,,rdf,BQM_IS,,
SFCYP3,parameter,,,rdf,BQB_IS,,
SFCYP4,parameter,,,rdf,BQM_IS,,
SFCYP4,parameter,,,rdf,BQB_IS,,
MPL,parameter,,,rdf,BQM_IS,,
MPL,parameter,,,rdf,BQB_IS,,
KmLMet1_CYP1,parameter,,,rdf,BQM_IS,,
KmLMet1_CYP1,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP1C,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP1C,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP1,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP1,parameter,,,rdf,BQB_IS,,
KmLMet1_CYP2,parameter,,,rdf,BQM_IS,,
KmLMet1_CYP2,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP2C,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP2C,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP2,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP2,parameter,,,rdf,BQB_IS,,
KmLMet1_CYP3,parameter,,,rdf,BQM_IS,,
KmLMet1_CYP3,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP3C,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP3C,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP3,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP3,parameter,,,rdf,BQB_IS,,
KmLMet1_CYP4,parameter,,,rdf,BQM_IS,,
KmLMet1_CYP4,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP4C,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP4C,parameter,,,rdf,BQB_IS,,
VmaxLMet1_CYP4,parameter,,,rdf,BQM_IS,,
VmaxLMet1_CYP4,parameter,,,rdf,BQB_IS,,
KmLMet2_CYP1,parameter,,,rdf,BQM_IS,,
KmLMet2_CYP1,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP1C,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP1C,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP1,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP1,parameter,,,rdf,BQB_IS,,
KmLMet2_CYP2,parameter,,,rdf,BQM_IS,,
KmLMet2_CYP2,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP2C,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP2C,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP2,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP2,parameter,,,rdf,BQB_IS,,
KmLMet2_CYP3,parameter,,,rdf,BQM_IS,,
KmLMet2_CYP3,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP3C,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP3C,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP3,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP3,parameter,,,rdf,BQB_IS,,
KmLMet2_CYP4,parameter,,,rdf,BQM_IS,,
KmLMet2_CYP4,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP4C,parameter,,,rdf,BQM_IS,,
VmaxLMet2_CYP4C,parameter,,,rdf,BQB_IS,,
VmaxLMet2_CYP4,parameter,,,rdf,BQM_IS,,
