file,id,name,route,chemical_group,unit,bqm_is_class_id,bqm_is_class_label,bqm_is_class_iri,bqb_is_class_id,bqb_is_class_label,bqb_is_class_iri
Chen.sbml,BW,Bodyweight,oral,PFAS,kg,PBPKO:00008,bodyweight,http://purl.obolibrary.org/obo/PBPKO_00008,,,
Chen.sbml,VLc,Volume fraction of the liver,oral,PFAS,L/kg,PBPKO:00078,fraction of liver,http://purl.obolibrary.org/obo/PBPKO_00078,,,
Chen.sbml,VPlasmac,Volume fraction of plasma,oral,PFAS,L/kg,PBPKO:00104,fraction of plasma,http://purl.obolibrary.org/obo/PBPKO_00104,,,
Chen.sbml,VL,Liver volume,oral,PFAS,L,PBPKO:00077,volume of liver,http://purl.obolibrary.org/obo/PBPKO_00077,,,
Chen.sbml,VPlasma,Plasma volume,oral,PFAS,L,PBPKO:00103,volume of plasma,http://purl.obolibrary.org/obo/PBPKO_00103,,,
Chen.sbml,VRest,Volume of the rest compartment,oral,PFAS,L,PBPKO:00105,volume of rest body,http://purl.obolibrary.org/obo/PBPKO_00105,,,
Chen.sbml,QC,Cardiac output,oral,PFAS,L/d,PBPKO:00013,cardiac output rate,http://purl.obolibrary.org/obo/PBPKO_00013,,,
Chen.sbml,QPlasma,Cardiac output of plasma,oral,PFAS,L/d,PBPKO:00528,cardiac output rate of plasma,http://purl.obolibrary.org/obo/PBPKO_00528,,,
Chen.sbml,Htc,Hematocrit,oral,PFAS,dimensionless,PBPKO:00527,hematocrit volume,http://purl.obolibrary.org/obo/PBPKO_00527,,,
Chen.sbml,QLc,Fraction of blood flow to liver,oral,PFAS,dimensionless,PBPKO:00025,fraction of blood flow to liver,http://purl.obolibrary.org/obo/PBPKO_00025,,,
Chen.sbml,QL,Blood flow to liver,oral,PFAS,L/d,PBPKO:00024,blood flow rate to liver,http://purl.obolibrary.org/obo/PBPKO_00024,,,
Chen.sbml,QRest,Blood flow to rest of body,oral,PFAS,L/d,PBPKO:00050,blood flow rate to restbody,http://purl.obolibrary.org/obo/PBPKO_00050,,,
Chen.sbml,Free,Unbound fraction,oral,PFAS,dimensionless,PBPKO:00149,unbound fraction,http://purl.obolibrary.org/obo/PBPKO_00149,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,kstoC,Intrinsic gastric emptying rate,oral,PFAS,/d.kg^0.25,,,,,,
Chen.sbml,ksto,Gastric emptying rate,oral,PFAS,/d,PBPKO:00143,gastric emptying rate,http://purl.obolibrary.org/obo/PBPKO_00143,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,kabsC,Intrinsic absorption rate,oral,PFAS,/d.kg^0.25,,,,,,
Chen.sbml,kabs,Absorption rate constant,oral,PFAS,/d,PBPKO:00142,absorption rate constant intestine,http://purl.obolibrary.org/obo/PBPKO_00142,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,k0C,Intrinsic uptake rate from the stomach,oral,PFAS,/d.kg^0.25,,,,,,
Chen.sbml,k0,Stomach uptake rate,oral,PFAS,/d,,,,,,
Chen.sbml,kfeC,Intrinsic fecal excretion rate,oral,PFAS,/d.kg^0.25,,,,,,
Chen.sbml,kfe,Fecal excretion rate,oral,PFAS,/d,PBPKO:00236,fecal elimination rate constant,http://purl.obolibrary.org/obo/PBPKO_00236,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,kbiliaryC,Intrinsic biliary excretion rate,oral,PFAS,/d.kg^0.25,,,,,,
Chen.sbml,kbiliary,Biliary excretion rate,oral,PFAS,/d,PBPKO:00233,biliary clearance rate,http://purl.obolibrary.org/obo/PBPKO_00233,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,PL,Liver to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00170,liver plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00170,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,PRest,Rest of body to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00518,restbody plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00518,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Chen.sbml,CLiver,Concentration in liver,oral,PFAS,ug/L,PBPKO:00539,concentration in liver,http://purl.obolibrary.org/obo/PBPKO_00539,,,
Chen.sbml,CPlasma,Unbound concentration in plasma,oral,PFAS,ug/L,,,,,,
Chen.sbml,CPlasmaTotal,Total concentration in plasma,oral,PFAS,ug/L,PBPKO:00549,concentration in plasma,http://purl.obolibrary.org/obo/PBPKO_00549,,,
Chen.sbml,CRest,Concentration in rest of body,oral,PFAS,ug/L,PBPKO:00548,concentration in restbody,http://purl.obolibrary.org/obo/PBPKO_00548,,,
ChouLin.sbml,BW,Bodyweight,oral,PFAS,kg,PBPKO:00008,bodyweight,http://purl.obolibrary.org/obo/PBPKO_00008,,,
ChouLin.sbml,VLc,Volume fraction of the liver,oral,PFAS,L/kg,PBPKO:00078,fraction of liver,http://purl.obolibrary.org/obo/PBPKO_00078,,,
ChouLin.sbml,VPlasmac,Volume fraction of plasma,oral,PFAS,L/kg,PBPKO:00104,fraction of plasma,http://purl.obolibrary.org/obo/PBPKO_00104,,,
ChouLin.sbml,VL,Liver volume,oral,PFAS,L,PBPKO:00077,volume of liver,http://purl.obolibrary.org/obo/PBPKO_00077,,,
ChouLin.sbml,VPlasma,Plasma volume,oral,PFAS,L,PBPKO:00103,volume of plasma,http://purl.obolibrary.org/obo/PBPKO_00103,,,
ChouLin.sbml,VRest,Rest of body volume,oral,PFAS,L,PBPKO:00105,volume of rest body,http://purl.obolibrary.org/obo/PBPKO_00105,,,
ChouLin.sbml,QC,Cardiac output,oral,PFAS,L/d,PBPKO:00013,cardiac output rate,http://purl.obolibrary.org/obo/PBPKO_00013,,,
ChouLin.sbml,QPlasma,Cardiac output of plasma,oral,PFAS,L/d,PBPKO:00528,cardiac output rate of plasma,http://purl.obolibrary.org/obo/PBPKO_00528,,,
ChouLin.sbml,Htc,Hematocrit,oral,PFAS,dimensionless,PBPKO:00527,hematocrit volume,http://purl.obolibrary.org/obo/PBPKO_00527,,,
ChouLin.sbml,QLc,Fraction of blood flow to liver,oral,PFAS,dimensionless,PBPKO:00025,fraction of blood flow to liver,http://purl.obolibrary.org/obo/PBPKO_00025,,,
ChouLin.sbml,QL,Liver blood flow,oral,PFAS,L/d,PBPKO:00024,blood flow rate to liver,http://purl.obolibrary.org/obo/PBPKO_00024,,,
ChouLin.sbml,QRest,Blood flow to rest of body,oral,PFAS,L/d,PBPKO:00050,blood flow rate to restbody,http://purl.obolibrary.org/obo/PBPKO_00050,,,
ChouLin.sbml,Free,Unbound fraction,oral,PFAS,dimensionless,PBPKO:00149,unbound fraction,http://purl.obolibrary.org/obo/PBPKO_00149,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,kstoC,Intrinsic gastric emptying rate,oral,PFAS,/d.kg^0.25,,,,,,
ChouLin.sbml,ksto,Gastric emptying rate,oral,PFAS,/d,PBPKO:00143,gastric emptying rate,http://purl.obolibrary.org/obo/PBPKO_00143,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,kabsC,Intrinsic absorption rate,oral,PFAS,/d.kg^0.25,,,,,,
ChouLin.sbml,kabs,Absorption rate,oral,PFAS,/d,PBPKO:00142,absorption rate constant intestine,http://purl.obolibrary.org/obo/PBPKO_00142,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,k0C,Intrinsic stomach absorption rate,oral,PFAS,/d.kg^0.25,,,,,,
ChouLin.sbml,k0,Stomach absorption rate,oral,PFAS,/d,,,,,,
ChouLin.sbml,kfeC,Intrinsic fecal excretion rate,oral,PFAS,/d.kg^0.25,,,,,,
ChouLin.sbml,kfe,Fecal excretion rate,oral,PFAS,/d,PBPKO:00236,fecal elimination rate constant,http://purl.obolibrary.org/obo/PBPKO_00236,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,kbiliaryC,Intrinsic biliary excretion rate,oral,PFAS,/d.kg^0.25,,,,,,
ChouLin.sbml,kbiliary,Biliary excretion rate,oral,PFAS,/d,PBPKO:00233,biliary clearance rate,http://purl.obolibrary.org/obo/PBPKO_00233,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,PL,Liver to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00170,liver plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00170,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,PRest,Rest of the body to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00518,restbody plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00518,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,CLiver,Concentration in liver,oral,PFAS,ug/L,PBPKO:00539,concentration in liver,http://purl.obolibrary.org/obo/PBPKO_00539,,,
ChouLin.sbml,CPlasma,Unbound concentration in plasma,oral,PFAS,ug/L,,,,,,
ChouLin.sbml,CPlasmaTotal,Total concentration in plasma,oral,PFAS,ug/L,PBPKO:00549,concentration in plasma,http://purl.obolibrary.org/obo/PBPKO_00549,,,
ChouLin.sbml,CRest,Concentration in rest of the body,oral,PFAS,ug/L,PBPKO:00548,concentration in restbody,http://purl.obolibrary.org/obo/PBPKO_00548,,,
Deepika.sbml,BW,bodyweight,oral,PFAS,kg,PBPKO:00008,bodyweight,http://purl.obolibrary.org/obo/PBPKO_00008,,,
Deepika.sbml,VLc,Volume fraction of liver,oral,PFAS,L/kg,PBPKO:00078,fraction of liver,http://purl.obolibrary.org/obo/PBPKO_00078,,,
Deepika.sbml,VPlasmac,Volume fraction of plasma,oral,PFAS,L/kg,PBPKO:00104,fraction of plasma,http://purl.obolibrary.org/obo/PBPKO_00104,,,
Deepika.sbml,VGc,Volume fraction of gut,oral,PFAS,L/kg,PBPKO:00509,fraction of gut,http://purl.obolibrary.org/obo/PBPKO_00509,,,
Deepika.sbml,VL,Liver volume,oral,PFAS,L,PBPKO:00077,volume of liver,http://purl.obolibrary.org/obo/PBPKO_00077,,,
Deepika.sbml,VPlasma,Volume of plasma,oral,PFAS,L,PBPKO:00103,volume of plasma,http://purl.obolibrary.org/obo/PBPKO_00103,,,
Deepika.sbml,VG,Volume of the gut,oral,PFAS,L,PBPKO:00524,volume of gut,http://purl.obolibrary.org/obo/PBPKO_00524,,,
Deepika.sbml,VRest,Volume of the rest of the body,oral,PFAS,L,PBPKO:00105,volume of rest body,http://purl.obolibrary.org/obo/PBPKO_00105,,,
Deepika.sbml,QC,Cardiac output,oral,PFAS,L/d,PBPKO:00013,cardiac output rate,http://purl.obolibrary.org/obo/PBPKO_00013,,,
Deepika.sbml,QPlasma,Cardiac output of plasma,oral,PFAS,L/d,PBPKO:00528,cardiac output rate of plasma,http://purl.obolibrary.org/obo/PBPKO_00528,,,
Deepika.sbml,Htc,Hematocrit,oral,PFAS,dimensionless,PBPKO:00527,hematocrit volume,http://purl.obolibrary.org/obo/PBPKO_00527,,,
Deepika.sbml,QLc,Fraction of blood flow to liver,oral,PFAS,dimensionless,PBPKO:00025,fraction of blood flow to liver,http://purl.obolibrary.org/obo/PBPKO_00025,,,
Deepika.sbml,QGc,Fraction of blood flow to gut,oral,PFAS,dimensionless,PBPKO:00513,fraction of blood flow to gut,http://purl.obolibrary.org/obo/PBPKO_00513,,,
Deepika.sbml,QL,Liver blood flow,oral,PFAS,L/d,PBPKO:00024,blood flow rate to liver,http://purl.obolibrary.org/obo/PBPKO_00024,,,
Deepika.sbml,QG,Gut blood flow,oral,PFAS,L/d,PBPKO:00531,blood flow rate to gut,http://purl.obolibrary.org/obo/PBPKO_00531,,,
Deepika.sbml,QRest,Blood flow to the rest of the body,oral,PFAS,L/d,PBPKO:00050,blood flow rate to restbody,http://purl.obolibrary.org/obo/PBPKO_00050,,,
Deepika.sbml,Free,Unbound fraction,oral,PFAS,dimensionless,PBPKO:00149,unbound fraction,http://purl.obolibrary.org/obo/PBPKO_00149,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,PL,Liver to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00170,liver plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00170,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,PG,Gut to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00166,gut plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00166,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,PRest,Rest of body to plasma partition coefficient,oral,PFAS,dimensionless,PBPKO:00518,restbody plasma partition coefficient,http://purl.obolibrary.org/obo/PBPKO_00518,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,CGI,Concentration in gastrointestinal tract,oral,PFAS,ug/L,PBPKO:00538,concentration in gut,http://purl.obolibrary.org/obo/PBPKO_00538,,,
Deepika.sbml,CLiver,Concentration in liver,oral,PFAS,ug/L,PBPKO:00539,concentration in liver,http://purl.obolibrary.org/obo/PBPKO_00539,,,
Deepika.sbml,CPlasma,Unbound concentration in plasma,oral,PFAS,ug/L,,,,,,
Deepika.sbml,CPlasmaTotal,Total concentration in plasma,oral,PFAS,ug/L,PBPKO:00549,concentration in plasma,http://purl.obolibrary.org/obo/PBPKO_00549,,,
Deepika.sbml,CRest,Concentration in rest of body,oral,PFAS,ug/L,PBPKO:00548,concentration in restbody,http://purl.obolibrary.org/obo/PBPKO_00548,,,
LoccisanoPFOA.sbml,BW,Bodyweight,oral,PFAS,kg,PBPKO:00008,bodyweight,http://purl.obolibrary.org/obo/PBPKO_00008,,,
LoccisanoPFOA.sbml,VLc,Volume fraction of liver,oral,PFAS,L/kg,PBPKO:00078,fraction of liver,http://purl.obolibrary.org/obo/PBPKO_00078,,,
LoccisanoPFOA.sbml,VPlasmac,Volume fraction of plasma,oral,PFAS,L/kg,PBPKO:00104,fraction of plasma,http://purl.obolibrary.org/obo/PBPKO_00104,,,
LoccisanoPFOA.sbml,VGIc,Volume fraction of gastrointestinal tissue,oral,PFAS,L/kg,PBPKO:00509,fraction of gut,http://purl.obolibrary.org/obo/PBPKO_00509,,,
LoccisanoPFOA.sbml,VL,Volume of liver,oral,PFAS,L,PBPKO:00077,volume of liver,http://purl.obolibrary.org/obo/PBPKO_00077,,,
LoccisanoPFOA.sbml,VPlasma,Volume of plasma,oral,PFAS,L,PBPKO:00103,volume of plasma,http://purl.obolibrary.org/obo/PBPKO_00103,,,
LoccisanoPFOA.sbml,VGI,Volume of gastrointestinal tissue,oral,PFAS,L,PBPKO:00524,volume of gut,http://purl.obolibrary.org/obo/PBPKO_00524,,,
LoccisanoPFOA.sbml,VRest,Volume of the rest of the body,oral,PFAS,L,PBPKO:00105,volume of rest body,http://purl.obolibrary.org/obo/PBPKO_00105,,,
LoccisanoPFOA.sbml,QC,Cardiac output,oral,PFAS,L/d,PBPKO:00013,cardiac output rate,http://purl.obolibrary.org/obo/PBPKO_00013,,,
LoccisanoPFOA.sbml,QPlasma,Cardiac output adjusted for plasma,oral,PFAS,L/d,PBPKO:00528,cardiac output rate of plasma,http://purl.obolibrary.org/obo/PBPKO_00528,,,
LoccisanoPFOA.sbml,Htc,Hematocrit,oral,PFAS,dimensionless,PBPKO:00527,hematocrit volume,http://purl.obolibrary.org/obo/PBPKO_00527,,,
LoccisanoPFOA.sbml,QLc,Fraction of blood flow to liver,oral,PFAS,dimensionless,PBPKO:00025,fraction of blood flow to liver,http://purl.obolibrary.org/obo/PBPKO_00025,,,
LoccisanoPFOA.sbml,QGIc,Fraction of blood flow to gastrointestinal tract,oral,PFAS,dimensionless,PBPKO:00513,fraction of blood flow to gut,http://purl.obolibrary.org/obo/PBPKO_00513,,,
LoccisanoPFOA.sbml,QL,Liver blood flow,oral,PFAS,L/d,PBPKO:00024,blood flow rate to liver,http://purl.obolibrary.org/obo/PBPKO_00024,,,
LoccisanoPFOA.sbml,QGI,Blood flow rate to gastrointestinal tract,oral,PFAS,L/d,PBPKO:00531,blood flow rate to gut,http://purl.obolibrary.org/obo/PBPKO_00531,,,
LoccisanoPFOA.sbml,QRest,Blood flow rate to rest of the body,oral,PFAS,L/d,PBPKO:00050,blood flow rate to restbody,http://purl.obolibrary.org/obo/PBPKO_00050,,,
LoccisanoPFOA.sbml,Free,Fraction unbound in plasma,oral,PFAS,dimensionless,PBPKO:00591,fraction unbound plasma,http://purl.obolibrary.org/obo/PBPKO_00591,CHEBI:35549,perfluorooctanoic acid,http://purl.obolibrary.org/obo/CHEBI_35549
