file,id,name,route,chemical_group,unit,bqm_is_class_id,bqm_is_class_label,bqm_is_class_iri,bqb_is_class_id,bqb_is_class_label,bqb_is_class_iri
Godin.sbml,ASt,,oral,Pesticides,,,,,,,
Godin.sbml,AIT,,oral,Pesticides,,,,,,,
Godin.sbml,ALiverVC,,oral,Pesticides,,,,,,,
Godin.sbml,ALiverIC,,oral,Pesticides,,,,,,,
Godin.sbml,ABlood,,oral,Pesticides,,,,,,,
Godin.sbml,ARestVC,,oral,Pesticides,,,,,,,
Godin.sbml,ARestIC,,oral,Pesticides,,,,,,,
Godin.sbml,ALiverMet,,oral,Pesticides,,,,,,,
Godin.sbml,ABloodMet,,oral,Pesticides,,,,,,,
Godin.sbml,AFecal,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ASL,,oral,Pesticides,,,,,,,
Zwartsen.sbml,AIL,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ALiver,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ABlood,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ARest,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ALiverMet1,,oral,Pesticides,,,,,,,
Zwartsen.sbml,ALiverMet2,,oral,Pesticides,,,,,,,
Wei.sbml,ASt,,oral,Pesticides,,,,,,,
Wei.sbml,AIT,,oral,Pesticides,,,,,,,
Wei.sbml,ALiver,,oral,Pesticides,,,,,,,
Wei.sbml,ABlood,,oral,Pesticides,,,,,,,
Wei.sbml,ARestT,,oral,Pesticides,,,,,,,
Wei.sbml,ARestVC,,oral,Pesticides,,,,,,,
Wei.sbml,ALiverMet,,oral,Pesticides,,,,,,,
Wei.sbml,ABloodMet,,oral,Pesticides,,,,,,,
Wei.sbml,AExcr,,oral,Pesticides,,,,,,,
Wei.sbml,AFecal,,oral,Pesticides,,,,,,,
Wei.sbml,AUrine,,oral,Pesticides,,,,,,,
Zhao.sbml,AGut,,oral,Pesticides,,,,,,,
Zhao.sbml,ALiver,,oral,Pesticides,,,,,,,
Zhao.sbml,ABlood,,oral,Pesticides,,,,,,,
Zhao.sbml,ARest,,oral,Pesticides,,,,,,,
Zhao.sbml,ALiverMet1,,oral,Pesticides,,,,,,,
Zhao.sbml,ALiverMet2,,oral,Pesticides,,,,,,,
Zhao.sbml,ALiverMet3,,oral,Pesticides,,,,,,,
Tonnelier.sbml,AAbsComp,,oral,Pesticides,,,,,,,
Tonnelier.sbml,APV,,oral,Pesticides,,,,,,,
Tonnelier.sbml,ALiver,,oral,Pesticides,,,,,,,
Tonnelier.sbml,ALiverMet,,oral,Pesticides,,,,,,,
Tonnelier.sbml,ASysComp,,oral,Pesticides,,,,,,,
Tonnelier.sbml,ARenalEx,,oral,Pesticides,,,,,,,
Timchalk.sbml,ALiver,,oral,Pesticides,,,,,,,
Timchalk.sbml,ABlood,,oral,Pesticides,,,,,,,
Timchalk.sbml,ARest,,oral,Pesticides,,,,,,,
Timchalk.sbml,ALiverMet1,,oral,Pesticides,,,,,,,
Timchalk.sbml,ALiverMet2,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,ASt,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,ADuodenum,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,AGITissue,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,ALiver,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,APlasma,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,ARest,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,ALiverMet,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,APlasmaMet,,oral,Pesticides,,,,,,,
Moreau_Carbaryl.sbml,AUrine,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,ASt,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,ADuodenum,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,AGITissue,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,ALiver,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,APlasma,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,ARest,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,ALiverMet,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,APlasmaMet,,oral,Pesticides,,,,,,,
Moreau_Deltamethrin.sbml,AUrine,,oral,Pesticides,,,,,,,
Chen.sbml,ASt,,oral,Pesticides,,,,,,,
Chen.sbml,AIT,,oral,Pesticides,,,,,,,
Chen.sbml,ALiver,,oral,Pesticides,,,,,,,
Chen.sbml,ABlood,,oral,Pesticides,,,,,,,
Chen.sbml,ARest,,oral,Pesticides,,,,,,,
Chen.sbml,ALiverMet1,,oral,Pesticides,,,,,,,
Chen.sbml,ALiverMet2,,oral,Pesticides,,,,,,,
Bouchard.sbml,AGut,,oral,Pesticides,,,,,,,
Bouchard.sbml,ABlood,,oral,Pesticides,,,,,,,
Bouchard.sbml,ARest,,oral,Pesticides,,,,,,,
Bouchard.sbml,ABloodMetTotal,,oral,Pesticides,,,,,,,
Mallick.sbml,ALumen,,oral,Pesticides,,,,,,,
Mallick.sbml,AGut,,oral,Pesticides,,,,,,,
Mallick.sbml,ALiver,,oral,Pesticides,,,,,,,
Mallick.sbml,APlasma,,oral,Pesticides,,,,,,,
Mallick.sbml,ARestPlasma,,oral,Pesticides,,,,,,,
Mallick.sbml,ARestTissue,,oral,Pesticides,,,,,,,
Mallick.sbml,ALiverMet1,,oral,Pesticides,,,,,,,
Deepika.sbml,AGI,Amount in gastrointestinal tract,oral,PFAS,ug,PBPKO:00496,amount in gut,http://purl.obolibrary.org/obo/PBPKO_00496,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,ALiver,Amount in liver,oral,PFAS,ug,PBPKO:00497,amount in liver,http://purl.obolibrary.org/obo/PBPKO_00497,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,APlasma,Amount in plasma,oral,PFAS,ug,PBPKO:00502,amount in plasma,http://purl.obolibrary.org/obo/PBPKO_00502,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
Deepika.sbml,ARest,Amount in the rest of the body,oral,PFAS,ug,PBPKO:00501,amount in restbody,http://purl.obolibrary.org/obo/PBPKO_00501,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,AST,Amount in the stomach,oral,PFAS,ug,,,,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,ASI,Amount in the small intestine,oral,PFAS,ug,,,,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,ALiver,Amount in the liver,oral,PFAS,ug,PBPKO:00497,amount in liver,http://purl.obolibrary.org/obo/PBPKO_00497,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
ChouLin.sbml,APlasma,Amount in plasma,oral,PFAS,ug,PBPKO:00502,amount in plasma,http://purl.obolibrary.org/obo/PBPKO_00502,CHEBI:39421,perfluorooctane-1-sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_39421
