time,APlasma,[APlasma]
0.0,0.0,0.0
1.0,3.99977543537517e-08,1.5575449514700817e-08
2.0,7.556174004438668e-08,2.9424353599839047e-08
3.0,1.0740950179592703e-07,4.1826129982837625e-08
4.0,1.3614333492392768e-07,5.3015317337978064e-08
5.0,1.6226792020869013e-07,6.318844244886687e-08
6.0,1.8620614326284513e-07,7.251018039830418e-08
7.0,2.083123521531599e-07,8.111851719359808e-08
8.0,2.2888346493612945e-07,8.912907513089154e-08
9.0,2.4816827835386483e-07,9.663873767673864e-08
10.0,2.6637526425500065e-07,1.0372868545755477e-07
11.0,2.836791092171079e-07,1.1046694284155292e-07
12.0,3.00226186262445e-07,1.1691050866917642e-07
13.0,3.1613914645953046e-07,1.2310714425994177e-07
14.0,3.3152076249705276e-07,1.2909687013125105e-07
15.0,3.4645715055066033e-07,1.34913220619416e-07
16.0,3.610204692437812e-07,1.4058429487686187e-07
17.0,3.752711828840422e-07,1.4613363819472047e-07
18.0,3.892599557362814e-07,1.5158097964808467e-07
19.0,4.0302924117830957e-07,1.56942850926133e-07
20.0,4.166146102787232e-07,1.6223310369109156e-07
21.0,4.300458748800176e-07,1.6746334691589472e-07
22.0,4.4334800734766126e-07,1.7264330504192417e-07
23.0,4.5654193853565456e-07,1.7778112871326112e-07
24.0,4.696452031776826e-07,1.8288364609722842e-07
25.0,4.826724963598729e-07,1.8795657957938975e-07
26.0,4.956361305666961e-07,1.930047237409253e-07
27.0,5.085464239099654e-07,1.9803209653814853e-07
28.0,5.214120210835356e-07,2.0304206428486588e-07
29.0,5.342401660169748e-07,2.0803744782592473e-07
30.0,5.470369287717899e-07,2.1302061089244154e-07
31.0,5.598073964943122e-07,2.1799353446040194e-07
32.0,5.72555828912617e-07,2.2295787730242092e-07
33.0,5.852857979415002e-07,2.2791503035105147e-07
34.0,5.980002967115692e-07,2.3286615915559546e-07
35.0,6.107018321037614e-07,2.3781223991579496e-07
36.0,6.233925051158441e-07,2.427540907771978e-07
37.0,6.360740774142717e-07,2.476923977469905e-07
38.0,6.487480217885924e-07,2.526277343413522e-07
39.0,6.614155755158765e-07,2.575605823659955e-07
40.0,6.740777743373396e-07,2.624913451469391e-07
41.0,6.8673548613024e-07,2.674203606426168e-07
42.0,6.993894383641805e-07,2.7234791213558427e-07
43.0,7.120402399317353e-07,2.7727423673354176e-07
44.0,7.246884016383598e-07,2.8219953334827096e-07
45.0,7.373343513283962e-07,2.87123968585824e-07
46.0,7.499784474880773e-07,2.920476820436438e-07
47.0,7.626209905385275e-07,2.9697079070814935e-07
48.0,7.752622321963649e-07,3.0189339259983055e-07
49.0,7.879023833785538e-07,3.068155698514618e-07
50.0,8.005416208184737e-07,3.1173739128445243e-07
51.0,8.131800929148918e-07,3.166589146864843e-07
52.0,8.258179231774171e-07,3.215801881531998e-07
53.0,8.384552158462648e-07,3.2650125227658284e-07
